YEAR,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
2023-24,Taurean Prince,LAL,29.0,31.0,10.2,3.7,8.3,44.4,2.2,5.5,39.4,0.6,0.8,75.0,0.3,2.6,2.9,1.8,0.8,0.5,0.9,10.4
2023-24,Kentavious Caldwell-Pope,DEN,30.0,32.6,10.2,3.6,7.8,45.5,1.5,3.6,42.1,1.5,1.7,90.2,0.4,1.7,2.2,2.6,1.5,0.6,1.0,11.5
2023-24,Josh Richardson,MIA,24.0,27.8,10.0,3.6,8.3,43.7,1.5,4.5,32.7,1.3,1.5,91.4,0.5,2.3,2.7,3.0,0.6,0.3,1.0,10.7
2023-24,Patrick Williams,CHI,32.0,27.5,9.9,3.7,8.2,44.7,1.3,3.3,41.0,1.3,1.7,75.9,1.1,2.9,4.1,1.4,0.9,0.9,1.2,11.1
2023-24,Onyeka Okongwu,ATL,30.0,24.6,9.7,3.7,6.4,58.3,0.4,1.4,28.6,1.8,2.1,84.4,2.5,4.4,6.8,1.5,0.5,0.9,0.8,15.6
2023-24,Donte DiVincenzo,NYK,29.0,20.7,9.6,3.3,7.3,45.0,2.3,5.3,44.2,0.7,1.0,72.4,0.7,2.2,2.9,1.9,1.0,0.3,1.0,10.4
2023-24,Alex Caruso,CHI,26.0,23.7,9.6,3.4,6.5,52.7,1.5,3.4,44.9,1.2,1.5,80.0,1.2,2.3,3.5,2.4,1.2,0.8,1.4,12.7
2023-24,Isaiah Joe,OKC,28.0,20.4,9.6,3.1,7.2,43.8,2.3,5.5,41.9,1.0,1.1,84.4,0.2,2.1,2.4,1.1,0.8,0.4,0.5,9.5
2023-24,Ausar Thompson,DET,30.0,26.2,9.5,3.9,8.5,46.1,0.3,1.9,16.1,1.4,2.0,69.5,2.5,5.1,7.6,2.3,0.9,1.1,1.7,14.6
2023-24,Kyle Lowry,MIA,28.0,29.3,9.4,3.1,6.8,46.1,2.0,4.6,43.8,1.1,1.3,83.3,0.7,3.0,3.7,4.1,1.1,0.4,1.4,13.4
