Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
449.0,Anfernee Simons,SG,24,POR,35,35.0,33.6,7.7,18.2,0.424,3.3,8.6,0.377,4.5,9.6,0.466,0.513,3.5,3.8,0.917,0.5,3.0,3.5,5.3,0.5,0.1,2.6,2.2,22.1
450.0,Jericho Sims,C,25,NYK,33,10.0,12.5,1.0,1.4,0.733,0.0,0.0,1.0,1.4,0.733,0.733,0.4,0.6,0.65,1.2,1.9,3.1,0.6,0.1,0.4,0.3,0.9,2.4,
451.0,Dmytro Skapintsev,C,25,NYK,2,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
452.0,Jalen Slawson,SF,24,SAC,5,0.0,3.8,0.4,0.6,0.667,0.0,0.2,0.0,0.4,0.4,1.0,0.667,0.0,0.0,0.0,0.8,0.8,0.4,0.0,0.2,0.4,0.6,0.8,
453.0,Javonte Smart,PG,24,PHI,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
454.0,Marcus Smart,PG,29,MEM,20,20.0,30.3,5.1,11.9,0.43,2.1,6.7,0.313,3.0,5.2,0.583,0.519,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5
455.0,Dennis Smith Jr.,PG,26,BRK,43,1.0,19.7,2.8,6.4,0.433,0.5,1.9,0.275,2.3,4.6,0.497,0.473,0.8,1.1,0.745,1.0,2.2,3.2,3.9,1.1,0.2,1.3,2.2,6.9
456.0,Dru Smith,SG,26,MIA,9,0.0,14.6,1.7,3.7,0.455,0.8,1.9,0.412,0.9,1.8,0.5,0.561,0.2,0.2,1.0,0.7,0.9,1.6,1.6,1.0,0.3,0.6,1.3,4.3
457.0,Ish Smith,PG,35,CHO,43,5.0,17.2,1.5,3.7,0.418,0.1,0.2,0.5,1.4,3.5,0.413,0.43,0.1,0.1,0.75,0.3,1.5,1.8,3.4,0.4,0.1,1.1,1.1,3.2
458.0,Jabari Smith Jr.,PF,20,HOU,54,54.0,32.1,4.9,10.9,0.451,1.7,4.7,0.355,3.2,6.1,0.524,0.528,1.9,2.4,0.819,2.1,6.8,8.8,1.5,0.7,0.7,1.2,2.7,13.4
459.0,Jalen Smith,C,23,IND,42,13.0,17.8,4.1,6.7,0.616,1.1,2.4,0.451,3.0,4.3,0.709,0.698,1.1,1.5,0.708,1.6,3.9,5.5,1.0,0.3,0.6,0.8,2.2,10.4
460.0,Nick Smith Jr.,SG,19,CHO,37,0.0,15.5,2.4,5.9,0.406,1.4,3.1,0.451,1.0,2.8,0.356,0.523,0.3,0.4,0.846,0.4,1.0,1.5,1.2,0.2,0.2,0.9,1.2,6.4
